"Informazioni cronologiche","Are you familiar with Machine Learning and/or Artificial Intelligence?","Have you ever used Deep Learning models for Natural Language Processing?","Are the following explanations RELEVANT for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations RELEVANT for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]"," Was the task of the survey clear?","Were the proposed explanations easy to understand?","Do you have any other comments?"
"2021/03/23 8:28:00 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","2","2","When I started the survey, I thought the words highlighted in explanation 1 were the words useful for the classification, and those in explanation 2, the words identified as not useful. I was misled by the example given at the beginning of the page. I hope I am not the only dumb person who had this problem <-- toxic sentence :)

The survey is too large. "
"2021/03/25 12:03:28 AM EET","No","No","Relevant","Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","3","3",""
"2021/03/25 1:36:11 PM EET","Yes","Yes","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 1:45:57 PM EET","Yes","No","Relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","4",""
"2021/03/25 1:52:56 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 1:55:03 PM EET","Yes","Yes","Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Not relevant","Not relevant","Relevant","Not relevant","5","5",""
"2021/03/25 1:56:13 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 1:58:38 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 1:59:18 PM EET","Yes","No","Very Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","4",""
"2021/03/25 2:02:16 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","3","4",""
"2021/03/25 2:03:29 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 2:06:53 PM EET","Yes","Yes","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","4","3",""
"2021/03/25 2:07:17 PM EET","Yes","No","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 2:12:41 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","4",""
"2021/03/25 2:13:41 PM EET","Yes","No","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","5",""
"2021/03/25 2:24:25 PM EET","Yes","No","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","4","3",""
"2021/03/25 2:35:45 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","5",""
"2021/03/25 2:47:03 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5","Good Job! Make students involved in these projects more often"
"2021/03/25 2:55:51 PM EET","Yes","No","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","3",""
"2021/03/25 3:03:01 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 3:04:00 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","5",""
"2021/03/25 3:05:33 PM EET","Yes","Yes","Very Relevant","Not relevant","Very Relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 3:09:36 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 3:30:54 PM EET","Yes","Yes","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 3:35:25 PM EET","No","No","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","4",""
"2021/03/25 3:43:31 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","5",""
"2021/03/25 3:46:12 PM EET","No","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","4","3",""
"2021/03/25 3:50:20 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 3:50:54 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","3","3",""
"2021/03/25 3:55:43 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
